order_ref,status,category,resolution,confidence,delta,note
ORD-2031,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2032,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2033,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2034,exception,delayed_settlement,resolved_automatically,0.75,6.00,Settlement landed 6 days after processing (expected 1) — bank-side delay.
ORD-2035,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2036,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2037,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2038,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2039,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2040,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2041,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2042,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2043,exception,amount_anomaly,needs_review,0.20,-1288.25,"Settlement credit (₹1,857.45) is far from the expected net (₹3,145.70) — too large to explain as a fee. Flagged for review."
ORD-2044,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2045,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2046,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2047,exception,delayed_settlement,resolved_automatically,0.75,3.00,Settlement landed 3 days after processing (expected 1) — bank-side delay.
ORD-2048,exception,duplicate_settlement,needs_review,0.30,11503.69,"2 settlement rows for one payment (₹23,577.26 total credited) — looks like a duplicate payout."
ORD-2049,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2050,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2051,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2052,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2053,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2054,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2055,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2056,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2057,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2058,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2059,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2060,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2061,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2062,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2063,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2064,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2065,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2066,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2067,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2068,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2069,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2070,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2071,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2072,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2073,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2074,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2075,exception,delayed_settlement,resolved_automatically,0.75,6.00,Settlement landed 6 days after processing (expected 1) — bank-side delay.
ORD-2076,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2077,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2078,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2079,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2080,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2081,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2082,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2083,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2084,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2085,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2086,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2087,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2088,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2089,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2090,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2091,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2092,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2093,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2094,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2095,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2096,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2097,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2098,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2099,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2100,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2101,exception,delayed_settlement,resolved_automatically,0.75,4.00,Settlement landed 4 days after processing (expected 1) — bank-side delay.
ORD-2102,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2103,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2104,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2105,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2106,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2107,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2108,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2109,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2110,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2111,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2112,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2113,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2114,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2115,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2116,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2117,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2118,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2119,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2120,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2121,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2122,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2123,exception,settlement_fee_adjustment,resolved_automatically,0.90,-1056.40,"Settlement is ₹1,056.40 below the expected net — consistent with an additional deduction/GST rounding on the payout."
ORD-2124,matched,clean,,0.99,-0.02,"Payment, settlement and invoice agree within tolerance."
ORD-2125,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2126,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2127,exception,amount_anomaly,needs_review,0.20,-981.02,"Settlement credit (₹2,550.78) is far from the expected net (₹3,531.80) — too large to explain as a fee. Flagged for review."
ORD-2128,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2129,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2130,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2131,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2132,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2133,exception,delayed_settlement,resolved_automatically,0.75,6.00,Settlement landed 6 days after processing (expected 1) — bank-side delay.
ORD-2134,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2135,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2136,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2137,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2138,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2139,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2140,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2141,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2142,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2143,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2144,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2145,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2146,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2147,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2148,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2149,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2150,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2151,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2152,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2153,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2154,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2155,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2156,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2157,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2158,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2159,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2160,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2161,exception,amount_anomaly,needs_review,0.20,-3102.38,"Settlement credit (₹167.44) is far from the expected net (₹3,269.82) — too large to explain as a fee. Flagged for review."
ORD-2162,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2163,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2164,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2165,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2166,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2167,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2168,exception,amount_anomaly,needs_review,0.20,-907.78,"Settlement credit (₹1,809.89) is far from the expected net (₹2,717.67) — too large to explain as a fee. Flagged for review."
ORD-2169,exception,amount_anomaly,needs_review,0.20,-2437.64,"Settlement credit (₹17,336.52) is far from the expected net (₹19,774.16) — too large to explain as a fee. Flagged for review."
ORD-2170,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2171,exception,settlement_fee_adjustment,resolved_automatically,0.90,-1437.49,"Settlement is ₹1,437.49 below the expected net — consistent with an additional deduction/GST rounding on the payout."
ORD-2172,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2173,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2174,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2175,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2176,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2177,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2178,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2179,exception,settlement_fee_adjustment,resolved_automatically,0.90,-153.64,Settlement is ₹153.64 below the expected net — consistent with an additional deduction/GST rounding on the payout.
ORD-2180,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2181,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2182,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2183,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2184,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2185,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2186,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2187,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2188,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2189,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2190,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2191,matched,clean,,0.99,-1.65,"Payment, settlement and invoice agree within tolerance."
ORD-2192,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2193,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2194,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2195,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2196,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2197,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2198,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2199,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2200,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2201,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2202,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2203,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2204,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2205,exception,amount_anomaly,needs_review,0.20,-748.40,"Settlement credit (₹1,851.42) is far from the expected net (₹2,599.82) — too large to explain as a fee. Flagged for review."
ORD-2206,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2207,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2208,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2209,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2210,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2211,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2212,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2213,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2214,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2215,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2216,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2217,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2218,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2219,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2220,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2221,exception,settlement_fee_adjustment,resolved_automatically,0.90,-167.12,Settlement is ₹167.12 below the expected net — consistent with an additional deduction/GST rounding on the payout.
ORD-2222,exception,delayed_settlement,resolved_automatically,0.75,5.00,Settlement landed 5 days after processing (expected 1) — bank-side delay.
ORD-2223,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2224,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2225,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2226,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2227,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2228,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2229,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2230,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2231,exception,delayed_settlement,resolved_automatically,0.75,2.00,Settlement landed 2 days after processing (expected 1) — bank-side delay.
ORD-2232,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2233,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2234,exception,amount_anomaly,needs_review,0.20,-1793.93,"Settlement credit (₹16,943.98) is far from the expected net (₹18,737.91) — too large to explain as a fee. Flagged for review."
ORD-2235,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2236,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2237,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2238,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2239,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2240,exception,duplicate_settlement,needs_review,0.30,60843.58,"2 settlement rows for one payment (₹124,701.24 total credited) — looks like a duplicate payout."
ORD-2241,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2242,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2243,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2244,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2245,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2246,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2247,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2248,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2249,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2250,exception,duplicate_settlement,needs_review,0.30,259955.07,"2 settlement rows for one payment (₹532,787.84 total credited) — looks like a duplicate payout."
ORD-2251,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2252,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2253,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2254,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2255,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2256,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2257,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2258,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2259,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2260,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2261,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2262,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2263,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2264,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2265,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2266,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2267,exception,delayed_settlement,resolved_automatically,0.75,4.00,Settlement landed 4 days after processing (expected 1) — bank-side delay.
ORD-2268,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2269,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2270,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2271,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2272,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2273,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2274,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2275,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2276,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2277,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2278,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2279,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2280,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2281,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2282,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2283,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2284,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2285,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2286,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2287,exception,delayed_settlement,resolved_automatically,0.75,4.00,Settlement landed 4 days after processing (expected 1) — bank-side delay.
ORD-2288,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2289,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2290,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2291,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2292,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2293,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2294,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2295,exception,duplicate_settlement,needs_review,0.30,2293.04,"2 settlement rows for one payment (₹4,699.68 total credited) — looks like a duplicate payout."
ORD-2296,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2297,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2298,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2299,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
